ID,Name,Articles
30,BOSCH,139899
101,FEBI BILSTEIN,72990
253,DIEDERICHS,70343
156,JAPANPARTS,51588
161,TRW,50073
403,MAXGEAR,47003
21,VALEO,46293
94,METZGER AUTOTEILE,44954
36,VAN WEZEL,42887
89,DELPHI,42141
475,BORG &amp; BECK,40763
206,A.B.S.,39425
2,HELLA,38332
151,SWAG,36680
95,MAGNETI MARELLI,34517
32,SACHS,34347
162,VAICO,31685
65,BREMBO,31390
287,MAHLE,30219
22,WABCO,28159
50,SKF,28143
133,MAPCO,27942
350,BLUE PRINT,27198
183,VEMO,26483
177,BTS Turbo,24200
35,LEMFÖRDER,23998
55,HERTH+BUSS JAKOPARTS,23891
301,TOPRAN,22914
144,MEYLE,22593
39,TEXTAR,21471
10,ELRING,20606
33,GATES,19426
362,ALKAR,18094
9,VICTOR REINZ,17602
432,KOLBENSCHMIDT,17005
268,JP GROUP,15790
118,HJS,15210
54,FTE,14650
3,ATE,14158
205,NRF,13874
1,SPIDAN,13676
479,ALANKO,13365
243,CAR,12313
42,DAYCO,12018
16,BILSTEIN,11587
62,FERODO,11484
110,SNR,11452
6,Schaeffler LuK,10556
239,HUTCHINSON,10273
279,GIRLING,10072
112,EIBACH,9576
66,DENSO,9112
175,LESJÖFORS,8944
192,Schaeffler FAG,8934
204,Schaeffler INA,7943
5,PIERBURG,7783
31,CONTINENTAL CTAM,6606
4,MANN-FILTER,6470
146,AMC Filter,4580
81,HENGST FILTER,4555
68,ZF,4397
86,ZIMMERMANN,4360
96,AL-KO,4207
15,NGK,3794
180,ALCO FILTER,3690
283,AP,3182
305,K&amp;N Filters,3087
256,FILTRON,2914
51,WESTFALIA,2901
449,ASTEMO-HITACHI,2833
34,KNECHT,2716
222,LIQUI MOLY,2443
461,RAVENOL,2439
83,CONTINENTAL/VDO,2431
109,BUGATTI,2365
327,BorgWarner,2019
168,MOTIP,1935
18,KONI,1699
97,WAECO,1681
141,AE,1596
11,BorgWarner (BERU),1238
167,DUPLI COLOR,1206
67,ams-OSRAM,956
294,SACHS PERFORMANCE,908
19,SWF,829
79,BorgWarner (Wahler),812
207,CASTROL,655
26,VARTA,499
75,PHILIPS,490
328,BorgWarner (3K),442
326,BorgWarner (Schwitzer),198
377,BOSCH DIAGNOSTICS,86
254,AFA,66
